"Add Open Package Service Tax","Adaugă taxa pentru deschidere colet la livrare"
"Add Package Exchange Service Tax","Adaugă taxa pentru serviciul de ridicare colet la schimb"
"Add Repack Service Tax","Adaugă taxa pentru serviciul de reambalare"
"Add Return Papers Service Tax","Adaugă taxa pentru serviciul de retur documente"
"Add this tax by default when getting the delivery quote.","Adaugă această taxă implicit la calcularea costurilor de livrare"
"API URL","URL API"
"Automate","Automatizează"
"Automatically create the AWB without the need to process the order","Crează AWB automat la plasarea comenzii fără a fi necesară procesarea comenzii"
"AWB created successfully!","AWB-ul a fost creat cu succes!"
"AWB Payment","Plată AWB"
"Default Package Height","Înălțime prestabilită colet"
"Default Package Length","Lungime prestabilită colet"
"Default Package Width","Lățime prestabilită colet"
"Default Package Weight","Greutate prestabilită colet"
"Download AWB","Descarcă AWB"
"Enable","Activează"
"Envelope","Plic"
"Error while automatically processing the order: %s","Eroare la procesarea automată a comenzii: %s"
"Generate AWB","Generează AWB"
"Large package","Colet voluminos"
"Next Day Delivery","Livrare în ziua următoare"
"Order could not be invoiced automatically","Comanda nu a putut fi facturată automat"
"Order invoiced automatically","Comandă facturată automat"
"Order shipped automatically","Comandă livrată automat"
"Package","Colet"
"Package type","Tip colete"
"Password","Parolă"
"Recipient","Destinatar"
"Same Day Delivery","Livrare în aceeași zi"
"Sameday","Sameday"
"Sender","Expeditor"
"Shipping origin","Adresa ridicare colete"
"Show method","Afișează metoda"
"Something is wrong. Please try again later!","Ceva nu este în regulă. Te rugăm să încerci mai târziu."
"Sort order","Ordine sortare"
"The address the package will be picked up from (usually the warehouse).","Adresa de unde va ridica curierul coletul (de obicei un depozit)"
"The most often package size used.","Dimensiunea folosită cel mai des"
"There's something wrong with the API connection. Please check the settings!","Ceva e în neregulă cu conexiunea API. Verifică setările!"
"Title","Titlu"
"Unexpected error. Please try again later or create the AWB manually","A survenit o eroare neașteptată. Te rugăm să încerci mai târziu sau să generezi AWB-ul manual"
"Username","Nume utilizator"